-36914.09375	-42467.44141	-48017.66406
-32161.40039	-46401.91406	-43589.64063
-27045.46289	-48527.25781	-42996.53906
-29284.7207	-45024.52344	-44990.29297
-25210.48633	-43049.28516	-44024.17188
-25212.34766	-45559.67188	-44943.38281
-26642.76758	-46744.87891	-45015.39453
-32594.83789	-46739.23438	-47898.07813
-27964.98438	-46102.12109	-43411.21484
-18997.34375	-43767.48828	-45317.46484
-21658.35352	-42208.29688	-46360.36328
-18123.87695	-44488.18359	-46132.88281
-17954.12891	-44545.96094	-47735.77734
-16487.64063	-43340.5	-48284.56641
-15256.57129	-40331.97656	-47129.23828
-14744.66797	-35721.59766	-45811.18359
-11203.87109	-36083.69922	-44312.97656
-22570.31836	-41730.71484	-43640.27344
-16952.83398	-40881.03516	-48113.99609
-16985.07813	-43553.90625	-48017.66406
-17648.79688	-41795.75	-43589.64063
-19902.91406	-41860.51953	-42996.53906
-20106.4082	-42163.75391	-44990.29297
-13813.7832	-42244.90625	-44024.17188
-17589.79883	-40636.3125	-44943.38281
-15106.93555	-40368.33594	-45015.39453
-16455.07422	-40058.48047	-47898.07813
-11654.00293	-45209.84766	-43411.21484
-18940.3125	-44310.24219	-45317.46484
-20014.45508	-44045.61719	-46360.36328
-23882.41016	-43304.37891	-46132.88281
-24471.80469	-43010.58203	-47735.77734
-22302.9707	-46401.53906	-48284.56641
-19500.08203	-48058.22656	-47129.23828
-31009.0918	-44813.62891	-45811.18359
-31301.46875	-42467.44141	-44312.97656
-30533.56641	-46401.91406	-43640.27344
-30884.12305	-48527.25781	-48113.99609
-29107.24414	-45024.52344	-48017.66406
-27988.21875	-43049.28516	-43589.64063
-33837.97266	-45559.67188	-42996.53906
-33217.25781	-46744.87891	-44990.29297
-32794.40234	-46739.23438	-44024.17188
-22752.34961	-46102.12109	-44943.38281
-26368.46484	-43767.48828	-45015.39453
-38343.85547	-42208.29688	-47898.07813
-34031.375	-44488.18359	-43411.21484
-31064.59961	-44545.96094	-45317.46484
-30243.6875	-43340.5	-46360.36328
-28900.17969	-40331.97656	-46132.88281
-27848.64648	-35721.59766	-47735.77734
-29235.74805	-36083.69922	-48284.56641
-30681.77148	-41730.71484	-47129.23828
-30776.96875	-40881.03516	-45811.18359
-28920.53711	-43553.90625	-44312.97656
-26555.13867	-41795.75	-43640.27344
-27423.2832	-41860.51953	-48113.99609
-29130.72852	-42163.75391	-48017.66406
-29419.42969	-42244.90625	-43589.64063
-29658.47266	-40636.3125	-42996.53906
-27971.38086	-40368.33594	-44990.29297
-27946.48828	-40058.48047	-44024.17188
-46534.60156	-45209.84766	-44943.38281
-46538.05859	-44310.24219	-45015.39453
-42912.17969	-44045.61719	-47898.07813
-38832.91406	-43304.37891	-43411.21484
-45765.83203	-43010.58203	-45317.46484
-45937.01563	-46401.53906	-46360.36328
-42399.30078	-48058.22656	-46132.88281
-44677.33594	-44813.62891	-47735.77734
-42969.75	-42467.44141	-48284.56641
-42785.28125	-46401.91406	-47129.23828
